DistSim,GranSim,LevSim,Match
0.00,0.20,0.13,0
0.00,0.14,0.14,0
0.00,0.60,0.31,0
0.00,0.50,0.32,0
0.00,0.20,0.33,0
0.00,0.20,0.30,0
0.00,0.20,0.20,0
0.00,0.40,0.33,0
0.00,0.25,0.28,0
0.00,0.40,0.10,0
0.00,0.20,0.22,0
0.00,0.20,0.10,0
0.00,0.20,0.00,0
0.00,0.20,0.11,0
0.00,0.50,0.20,0
0.00,0.20,0.09,0
0.00,0.25,0.20,0
0.00,0.40,0.33,0
0.00,0.50,0.12,0
0.00,0.50,0.52,0
0.00,0.33,0.46,0
0.00,0.50,0.33,0
0.00,0.25,0.16,0
0.00,0.33,0.12,0
0.00,0.50,0.12,0
0.00,0.16,0.18,0
0.00,0.20,0.11,0
0.00,0.40,0.40,0
0.00,0.20,0.25,0
0.00,0.20,0.32,0
0.00,0.20,0.30,0
0.00,0.40,0.33,0
0.00,0.40,0.33,0
0.00,0.16,0.00,0
0.00,0.20,0.17,0
0.00,0.16,0.29,0
0.00,0.42,0.00,0
0.00,0.50,0.33,0
0.00,0.50,0.26,0
0.00,0.40,0.14,0
0.00,0.16,0.26,0
0.00,0.20,0.22,0
0.00,0.20,0.11,0
0.00,0.25,0.20,0
0.00,0.20,0.08,0
0.00,0.16,0.11,0
0.00,0.25,0.50,0
0.00,0.14,0.25,0
0.00,0.40,0.30,0
0.00,0.50,0.27,0
0.00,0.25,0.23,0
0.00,0.20,0.09,0
0.00,0.50,0.28,0
0.00,0.50,0.31,0
0.00,0.20,0.44,0
0.00,0.20,0.08,0
0.00,0.20,0.20,0
0.00,0.25,0.25,0
0.00,0.25,0.37,0
0.00,0.20,0.33,0
0.00,0.20,0.19,0
0.00,0.33,0.55,0
0.00,0.33,0.11,0
0.00,0.20,0.26,0
0.00,0.20,0.28,0
0.00,0.16,0.20,0
0.00,0.20,0.40,0
0.00,0.20,0.30,0
0.00,0.20,0.25,0
0.00,0.20,0.33,0
0.00,0.60,0.27,0
0.00,0.20,0.06,0
0.00,0.20,0.23,0
0.00,0.20,0.27,0
0.00,0.16,0.46,0
0.00,0.16,0.20,0
0.00,0.20,0.37,0
0.00,0.20,0.19,0
0.00,0.25,0.12,0
0.00,0.28,0.20,0
0.00,0.20,0.17,0
0.00,0.25,0.16,0
0.00,0.20,0.13,0
0.00,0.25,0.38,0
0.00,0.20,0.25,0
0.00,0.25,0.25,0
0.00,0.50,0.16,0
0.00,0.75,0.20,0
0.00,0.20,0.26,0
0.00,0.20,0.22,0
0.00,0.20,0.25,0
0.00,0.25,0.18,0
0.00,0.20,0.25,0
0.00,0.20,0.16,0
0.00,0.20,0.31,0
0.00,0.20,0.26,0
0.00,0.40,0.38,0
0.00,0.16,0.15,0
0.00,0.20,0.23,0
0.00,0.20,0.16,0
0.00,0.50,0.33,0
0.00,0.40,0.16,0
0.00,0.40,0.36,0
0.00,0.50,0.08,0
0.00,0.60,0.00,0
0.00,0.50,0.35,0
0.00,0.20,0.16,0
0.00,0.20,0.11,0
0.00,0.20,0.22,0
0.00,0.25,0.25,0
0.00,0.20,0.27,0
0.00,0.20,0.53,0
0.00,0.20,0.35,0
0.00,0.25,0.22,0
0.00,0.28,0.50,0
0.00,0.25,0.22,0
0.00,0.20,0.22,0
0.00,0.20,0.40,0
0.00,0.25,0.36,0
0.00,0.40,0.20,0
0.00,0.20,0.11,0
0.00,0.42,0.10,0
0.00,0.50,0.15,0
0.00,0.20,0.18,0
0.00,0.25,0.08,0
0.00,0.40,0.00,0
0.00,0.20,0.28,0
0.00,0.40,0.50,0
0.00,0.25,0.29,0
0.00,0.20,0.30,0
0.00,0.25,0.35,0
0.00,0.16,0.27,0
0.00,0.50,0.36,0
0.00,0.20,0.28,0
0.00,0.25,0.13,0
0.00,0.20,0.16,0
0.00,0.25,0.22,0
0.00,0.40,0.13,0
0.00,0.20,0.10,0
0.00,0.50,0.42,0
0.00,0.20,0.41,0
0.00,0.20,0.21,0
0.00,0.25,0.33,0
0.00,0.20,0.50,0
0.00,0.20,0.16,0
0.00,0.14,0.37,0
0.00,0.20,0.37,0
0.00,0.20,0.46,0
0.00,0.20,0.30,0
0.00,0.20,0.21,0
0.00,0.20,0.30,0
0.00,0.20,0.00,0
0.00,0.20,0.14,0
0.00,0.40,0.37,0
0.00,0.25,0.44,0
0.00,0.20,0.23,0
0.00,0.16,0.28,0
0.00,0.50,0.60,0
0.00,0.50,0.18,0
0.00,0.50,0.18,0
0.00,0.33,0.38,0
0.00,0.20,0.25,0
0.00,0.20,0.31,0
0.00,0.20,0.15,0
0.00,0.25,0.20,0
0.00,0.16,0.21,0
0.00,0.16,0.33,0
0.00,0.28,0.07,0
0.00,0.16,0.11,0
0.00,0.20,0.21,0
0.00,0.40,0.28,0
0.00,0.50,0.53,0
0.00,0.20,0.36,0
0.00,0.16,0.25,0
0.00,0.50,0.21,0
0.00,0.40,0.50,0
0.00,0.25,0.33,0
0.00,0.20,0.25,0
0.00,0.16,0.10,0
0.00,0.20,0.27,0
0.00,0.16,0.25,0
0.00,0.28,0.11,0
0.00,0.16,0.28,0
0.00,0.16,0.24,0
0.00,0.14,0.16,0
0.00,0.25,0.14,0
0.00,0.16,0.22,0
0.00,0.33,0.25,0
0.00,0.50,0.38,0
0.00,0.33,0.29,0
0.00,0.20,0.14,0
0.00,0.20,0.42,0
0.00,0.20,0.30,0
0.00,0.16,0.17,0
0.00,0.20,0.12,0
0.00,0.16,0.23,0
0.00,0.16,0.25,0
0.00,0.25,0.23,0
0.00,0.33,0.40,0
0.00,0.25,0.27,0
0.00,0.16,0.33,0
0.00,0.16,0.14,0
0.00,0.25,0.20,0
0.00,0.40,0.20,0
0.00,0.16,0.33,0
0.00,0.20,0.10,0
0.00,0.16,0.07,0
0.00,0.14,0.22,0
0.00,0.20,0.17,0
0.00,0.14,0.40,0
0.00,0.16,0.25,0
0.00,0.20,0.23,0
0.00,0.60,0.36,0
0.00,0.25,0.33,0
0.00,0.16,0.09,0
0.00,0.20,0.15,0
0.00,0.20,0.00,0
0.00,0.40,0.22,0
0.00,0.40,0.21,0
0.00,0.40,0.16,0
0.00,0.33,0.40,0
0.00,0.20,0.31,0
0.00,0.40,0.15,0
0.00,0.33,0.20,0
0.00,0.16,0.23,0
0.00,0.40,0.13,0
0.00,0.40,0.14,0
0.00,0.25,0.20,0
0.00,0.20,0.35,0
0.00,0.40,0.33,0
0.00,0.60,0.11,0
0.00,0.14,0.21,0
0.00,0.20,0.18,0
0.00,0.20,0.15,0
0.00,0.20,0.25,0
0.00,0.16,0.21,0
0.00,0.40,0.25,0
0.00,0.20,0.35,0
0.00,0.33,0.07,0
0.00,0.16,0.16,0
0.00,0.40,0.18,0
0.00,0.20,0.35,0
0.00,0.33,0.29,0
0.00,0.16,0.25,0
0.00,0.33,0.10,0
0.00,0.25,0.20,0
0.00,0.20,0.15,0
0.00,0.20,0.44,0
0.00,0.25,0.25,0
0.00,0.28,0.30,0
0.00,0.20,0.33,0
0.00,0.16,0.33,0
0.00,0.60,0.22,0
0.00,0.20,0.28,0
0.00,0.20,0.36,0
0.00,0.20,0.20,0
0.00,0.25,0.27,0
0.00,0.20,0.30,0
0.00,0.16,0.33,0
0.00,0.20,0.29,0
0.00,0.33,0.00,0
0.00,0.20,0.25,0
0.00,0.20,0.33,0
0.00,0.20,0.18,0
0.00,0.20,0.31,0
0.00,0.20,0.27,0
0.00,0.16,0.22,0
0.00,0.20,0.14,0
0.00,0.20,0.20,0
0.00,0.20,0.15,0
0.00,0.20,0.16,0
0.00,0.20,0.26,0
0.00,0.20,0.41,0
0.00,0.20,0.50,0
0.00,0.16,0.15,0
0.00,0.50,0.20,0
0.00,0.25,0.26,0
0.00,0.20,0.25,0
0.00,0.40,0.26,0
0.00,0.16,0.50,0
0.00,0.20,0.11,0
0.00,0.20,0.20,0
0.00,0.20,0.07,0
0.00,0.66,0.29,0
0.00,0.20,0.16,0
0.00,0.20,0.25,0
0.00,0.20,0.31,0
0.00,0.20,0.23,0
0.00,0.20,0.25,0
0.00,0.16,0.26,0
0.00,0.20,0.22,0
0.00,0.50,0.35,0
0.00,0.20,0.23,0
0.00,0.20,0.16,0
0.00,0.40,0.45,0
0.00,0.20,0.30,0
0.00,0.25,0.26,0
0.00,0.16,0.22,0
0.00,0.20,0.23,0
0.00,0.16,0.23,0
0.00,0.20,0.18,0
0.00,0.20,0.00,0
0.00,0.50,0.33,0
0.00,0.20,0.33,0
0.00,0.20,0.00,0
0.00,0.20,0.46,0
0.00,0.40,0.61,0
0.00,0.20,0.28,0
0.00,0.20,0.14,0
0.00,0.42,0.26,0
0.00,0.20,0.00,0
0.00,0.16,0.40,0
0.00,0.16,0.21,0
0.00,0.20,0.33,0
0.00,0.50,0.14,0
0.00,0.25,0.20,0
0.00,0.16,0.26,0
0.00,0.20,0.30,0
0.00,0.20,0.30,0
0.00,0.33,0.36,0
0.00,0.40,0.13,0
0.00,0.16,0.07,0
0.00,0.33,0.35,0
0.00,0.20,0.25,0
0.00,0.16,0.38,0
0.00,0.16,0.33,0
0.00,0.20,0.18,0
0.00,0.20,0.16,0
0.00,0.50,0.57,0
0.00,0.20,0.50,0
0.00,0.16,0.21,0
0.00,0.16,0.28,0
0.00,0.40,0.28,0
0.00,0.40,0.25,0
0.00,0.20,0.33,0
0.00,0.16,0.15,0
0.00,0.20,0.40,0
0.00,0.33,0.40,0
0.00,0.20,0.32,0
0.00,0.16,0.16,0
0.00,0.25,0.45,0
0.00,0.20,0.15,0
0.00,0.20,0.24,0
0.00,0.20,0.66,0
0.00,0.50,0.16,0
0.00,0.20,0.16,0
0.00,0.40,0.27,0
0.00,0.20,0.19,0
0.00,0.40,0.33,0
0.00,0.20,0.12,0
0.00,0.25,0.20,0
0.00,0.20,0.16,0
0.00,0.20,0.40,0
0.00,0.20,0.40,0
0.00,0.16,0.16,0
0.00,0.20,0.20,0
0.00,0.33,0.23,0
0.00,0.20,0.12,0
0.00,0.20,0.36,0
0.00,0.20,0.12,0
0.00,0.20,0.41,0
0.00,0.50,0.30,0
0.00,0.20,0.00,0
0.00,0.20,0.12,0
0.00,0.33,0.28,0
0.00,0.20,0.20,0
0.00,0.20,0.10,0
0.00,0.20,0.23,0
0.00,0.20,0.25,0
0.00,0.20,0.44,0
0.00,0.25,0.09,0
0.00,0.16,0.30,0
0.00,0.16,0.31,0
0.00,0.14,0.27,0
0.00,0.20,0.25,0
0.00,0.16,0.27,0
0.00,0.20,0.50,0
0.00,0.20,0.25,0
0.00,0.50,0.38,0
0.00,0.20,0.20,0
0.00,0.20,0.23,0
0.00,0.20,0.09,0
0.00,0.16,0.00,0
0.00,0.25,0.18,0
0.00,0.20,0.40,0
0.00,0.33,0.29,0
0.00,0.20,0.16,0
0.00,0.20,0.11,0
0.00,0.14,0.33,0
0.00,0.16,0.31,0
0.00,0.25,0.30,0
0.00,0.50,0.21,0
0.00,0.14,0.18,0
0.00,0.50,0.00,0
0.00,0.14,0.28,0
1.00,1.00,1.00,1
0.00,0.20,0.12,0
0.00,0.20,0.29,0
0.00,0.20,0.16,0
0.00,0.25,0.40,0
0.00,0.20,0.30,0
0.00,0.50,0.05,0
0.00,0.16,0.27,0
0.00,0.33,0.30,0
0.00,0.25,0.25,0
0.00,0.25,0.13,0
0.00,0.20,0.16,0
0.00,0.16,0.29,0
0.00,0.42,0.28,0
0.00,0.16,0.11,0
0.00,0.40,0.22,0
0.00,0.40,0.23,0
0.00,0.20,0.25,0
0.00,0.25,0.33,0
0.00,0.20,0.23,0
0.00,0.16,0.09,0
0.00,0.20,0.25,0
0.00,0.16,0.22,0
0.00,0.20,0.00,0
0.00,0.25,0.14,0
0.00,0.50,0.16,0
0.00,0.20,0.20,0
0.00,0.16,0.31,0
0.00,0.50,0.27,0
0.00,0.20,0.46,0
0.00,0.20,0.25,0
0.00,0.20,0.21,0
0.00,0.25,0.37,0
0.00,0.25,0.30,0
0.00,0.20,0.42,0
0.00,0.25,0.27,0
0.00,0.16,0.21,0
0.00,0.25,0.07,0
0.00,0.20,0.19,0
0.00,0.20,0.33,0
0.00,0.40,0.38,0
0.00,0.20,0.28,0
0.00,0.20,0.14,0
0.00,0.20,0.29,0
0.00,0.50,0.17,0
0.00,0.16,0.28,0
0.00,0.20,0.22,0
0.00,0.20,0.24,0
0.00,0.20,0.20,0
0.00,0.20,0.10,0
0.00,0.20,0.14,0
0.00,0.40,0.12,0
0.00,0.33,0.25,0
0.00,0.16,0.08,0
0.00,0.16,0.30,0
0.00,0.16,0.08,0
0.00,0.16,0.26,0
0.00,0.16,0.16,0
0.00,0.20,0.33,0
0.00,0.16,0.08,0
0.00,0.16,0.19,0
0.00,0.50,0.12,0
0.00,0.20,0.00,0
0.00,0.20,0.33,0
0.00,0.25,0.33,0
0.00,0.40,0.25,0
0.00,0.40,0.25,0
0.00,0.66,0.42,0
0.00,0.16,0.32,0
0.00,0.16,0.21,0
0.00,0.20,0.44,0
0.00,0.14,0.28,0
0.00,0.25,0.20,0
0.00,0.20,0.50,0
0.00,0.20,0.33,0
0.00,0.20,0.10,0
0.00,0.14,0.66,0
0.00,0.60,0.21,0
0.00,0.20,0.24,0
0.00,0.20,0.16,0
0.00,0.20,0.50,0
0.00,0.40,0.45,0
0.00,0.40,0.44,0
0.00,0.20,0.25,0
0.00,0.20,0.37,0
0.00,0.40,0.40,0
0.00,0.50,0.16,0
0.00,0.40,0.29,0
0.00,0.16,0.50,0
0.00,0.25,0.20,0
0.00,0.40,0.25,0
0.00,0.20,0.40,0
0.00,0.20,0.29,0
0.00,0.20,0.08,0
0.00,0.20,0.25,0
0.00,0.50,0.15,0
0.00,0.25,0.27,0
0.00,0.40,0.33,0
0.00,0.66,0.14,0
0.00,0.25,0.36,0
0.00,0.20,0.14,0
0.00,0.20,0.27,0
0.00,0.33,0.33,0
0.00,0.50,0.16,0
0.00,0.14,0.16,0
0.00,0.25,0.38,0
0.00,0.20,0.00,0
0.00,0.20,0.33,0
0.00,0.25,0.24,0
0.00,0.20,0.14,0
0.00,0.16,0.33,0
0.00,0.42,0.12,0
0.00,0.20,0.28,0
0.00,0.20,0.34,0
0.00,0.20,0.00,0
0.00,0.40,0.20,0
0.00,0.20,0.44,0
0.00,0.20,0.40,0
0.00,0.25,0.14,0
0.00,0.25,0.31,0
0.00,0.14,0.28,0
0.00,0.16,0.20,0
0.00,0.20,0.26,0
0.00,0.20,0.37,0
0.00,0.16,0.33,0
0.00,0.20,0.33,0
0.00,0.50,0.16,0
0.00,0.20,0.30,0
0.00,0.40,0.22,0
0.00,0.40,0.00,0
0.00,0.33,0.06,0
0.00,0.25,0.28,0
0.00,0.20,0.20,0
0.00,0.20,0.30,0
0.00,0.25,0.40,0
0.00,0.20,0.35,0
0.00,0.16,0.06,0
0.00,0.25,0.40,0
0.00,0.20,0.45,0
0.00,0.25,0.25,0
0.00,0.20,0.16,0
0.00,0.20,0.25,0
0.00,0.25,0.29,0
0.00,0.40,0.33,0
0.00,0.40,0.20,0
0.00,0.25,0.20,0
0.00,0.20,0.30,0
0.00,0.20,0.00,0
0.00,0.20,0.20,0
0.00,0.20,0.12,0
0.00,0.16,0.38,0
0.00,0.16,0.22,0
0.00,0.40,0.16,0
0.00,0.40,0.50,0
0.00,0.20,0.13,0
0.00,0.14,0.20,0
0.00,0.33,0.33,0
0.00,0.20,0.00,0
0.00,0.20,0.33,0
0.00,0.20,0.28,0
0.00,0.20,0.18,0
0.00,0.20,0.25,0
0.00,0.20,0.13,0
0.00,0.20,0.26,0
0.00,0.20,0.10,0
0.00,0.25,0.33,0
0.00,0.20,0.27,0
0.00,0.16,0.12,0
0.00,0.40,0.28,0
0.00,0.20,0.12,0
0.00,0.20,0.27,0
0.00,0.40,0.29,0
0.00,0.40,0.18,0
0.00,0.20,0.00,0
0.00,0.20,0.26,0
0.00,0.20,0.17,0
0.00,0.40,0.27,0
0.00,0.20,0.16,0
0.00,0.20,0.25,0
0.00,0.20,0.16,0
0.00,0.20,0.00,0
0.00,0.20,0.15,0
0.00,0.25,0.28,0
0.00,0.20,0.28,0
0.00,0.16,0.00,0
0.00,0.16,0.33,0
0.00,0.20,0.14,0
0.00,0.20,0.10,0
0.00,0.40,0.11,0
0.00,0.20,0.10,0
0.00,0.20,0.28,0
0.00,0.25,0.28,0
0.00,0.20,0.00,0
0.00,0.20,0.09,0
0.00,0.40,0.33,0
0.00,0.20,0.15,0
0.00,0.20,0.09,0
0.00,0.25,0.36,0
0.00,0.40,0.27,0
0.00,0.33,0.07,0
0.00,0.14,0.21,0
0.00,0.16,0.50,0
0.00,0.40,0.26,0
0.00,0.20,0.30,0
0.00,0.40,0.29,0
0.00,0.20,0.22,0
0.00,0.20,0.18,0
0.00,0.20,0.11,0
0.00,0.20,0.25,0
0.00,0.20,0.00,0
0.00,0.20,0.25,0
0.00,0.25,0.19,0
0.00,0.20,0.14,0
0.00,0.40,0.00,0
0.00,0.40,0.21,0
0.00,0.20,0.12,0
0.00,0.16,0.30,0
0.00,0.16,0.35,0
0.00,0.16,0.27,0
0.00,0.25,0.25,0
0.00,0.25,0.23,0
0.00,0.20,0.16,0
0.00,0.20,0.12,0
0.00,0.16,0.25,0
0.00,0.20,0.28,0
0.00,0.20,0.23,0
0.00,0.20,0.22,0
0.00,0.25,0.22,0
0.00,0.40,0.12,0
0.00,0.20,0.33,0
0.00,0.33,0.33,0
0.00,0.20,0.22,0
0.00,0.40,0.40,0
0.00,0.16,0.23,0
0.00,0.16,0.33,0
0.00,0.14,0.16,0
0.00,0.14,0.12,0
0.00,0.25,0.12,0
0.00,0.20,0.23,0
0.00,0.20,0.00,0
0.00,0.16,0.19,0
0.00,0.20,0.20,0
0.00,0.20,0.16,0
0.00,0.20,0.11,0
0.00,0.20,0.19,0
0.00,0.20,0.07,0
0.00,0.16,0.30,0
0.00,0.20,0.33,0
0.00,0.20,0.29,0
0.00,0.14,0.10,0
0.00,0.16,0.16,0
0.00,0.33,0.33,0
0.00,0.33,0.25,0
0.00,0.33,0.06,0
0.00,0.16,0.30,0
0.00,0.16,0.17,0
0.00,0.20,0.33,0
0.00,0.20,0.25,0
0.00,0.20,0.14,0
0.00,0.16,0.10,0
0.00,0.20,0.18,0
0.00,0.14,0.20,0
0.00,0.16,0.26,0
0.00,0.16,0.21,0
0.00,0.20,0.10,0
0.00,0.16,0.33,0
0.00,0.14,0.10,0
0.00,0.25,0.28,0
0.00,0.16,0.25,0
0.00,0.20,0.14,0
0.00,0.20,0.21,0
0.00,0.50,0.41,0
0.00,0.20,0.18,0
0.00,0.50,0.33,0
0.00,0.66,0.38,0
0.00,0.16,0.23,0
0.00,0.14,0.00,0
0.00,0.16,0.11,0
0.00,0.16,0.13,0
0.00,0.20,0.11,0
0.00,0.16,0.45,0
0.00,0.20,0.05,0
0.00,0.16,0.20,0
0.00,0.20,0.29,0
0.00,0.20,0.10,0
0.00,0.40,0.53,0
0.00,0.50,0.25,0
0.00,0.40,0.28,0
0.00,0.33,0.50,0
0.00,0.20,0.00,0
0.00,0.16,0.20,0
0.00,0.20,0.28,0
0.00,0.20,0.21,0
0.00,0.20,0.20,0
0.00,0.50,0.33,0
0.00,0.25,0.38,0
0.00,0.20,0.14,0
0.00,0.20,0.13,0
0.00,0.16,0.20,0
0.00,0.20,0.35,0
0.00,0.25,0.30,0
0.00,0.20,0.18,0
0.00,0.20,0.33,0
0.00,0.16,0.27,0
0.00,0.25,0.41,0
0.00,0.20,0.61,0
0.00,0.40,0.00,0
0.00,0.20,0.21,0
0.00,0.20,0.11,0
0.00,0.16,0.33,0
0.00,0.20,0.17,0
0.00,0.20,0.33,0
0.00,0.20,0.50,0
0.00,0.25,0.40,0
0.00,0.20,0.16,0
0.00,0.33,0.07,0
0.00,0.20,0.22,0
0.00,0.16,0.22,0
0.00,0.14,0.15,0
0.00,0.20,0.36,0
0.00,0.20,0.11,0
0.00,0.25,0.33,0
0.00,0.16,0.06,0
0.00,0.20,0.21,0
0.00,0.20,0.28,0
0.00,0.20,0.25,0
0.00,0.20,0.25,0
0.00,0.20,0.17,0
0.00,0.20,0.00,0
0.00,0.20,0.31,0
0.00,0.14,0.21,0
0.00,0.20,0.22,0
0.00,0.20,0.33,0
0.00,0.33,0.35,0
0.00,0.20,0.00,0
0.00,0.20,0.12,0
0.00,0.16,0.28,0
0.00,0.33,0.15,0
0.00,0.20,0.10,0
0.00,0.20,0.20,0
0.00,0.20,0.22,0
0.00,0.20,0.30,0
0.00,0.20,0.30,0
0.00,0.20,0.26,0
0.00,0.25,0.37,0
0.00,0.40,0.45,0
0.00,0.16,0.00,0
0.00,0.20,0.33,0
0.00,0.20,0.14,0
0.00,0.40,0.20,0
0.00,0.20,0.26,0
0.00,0.20,0.27,0
0.00,0.20,0.19,0
0.00,0.16,0.14,0
0.00,0.20,0.20,0
0.00,0.40,0.18,0
0.00,0.50,0.33,0
0.00,0.25,0.21,0
0.00,0.20,0.50,0
0.00,0.20,0.31,0
0.00,0.20,0.35,0
0.00,0.20,0.00,0
0.00,0.20,0.57,0
0.00,0.20,0.42,0
0.00,0.20,0.38,0
0.00,0.25,0.18,0
0.00,0.20,0.29,0
0.00,0.20,0.24,0
0.00,0.20,0.30,0
0.00,0.20,0.25,0
0.00,0.20,0.30,0
0.00,0.16,0.44,0
0.00,0.16,0.22,0
0.00,0.40,0.26,0
0.00,0.20,0.25,0
0.00,0.60,0.05,0
0.00,0.25,0.20,0
0.00,0.20,0.12,0
0.00,0.50,0.20,0
0.00,0.20,0.10,0
0.00,0.16,0.22,0
0.00,0.16,0.26,0
0.00,0.40,0.30,0
0.00,0.20,0.20,0
0.00,0.20,0.22,0
0.00,0.14,0.28,0
0.00,0.16,0.12,0
0.00,0.25,0.50,0
0.00,0.28,0.17,0
0.00,0.40,0.28,0
0.00,0.20,0.35,0
0.00,0.25,0.18,0
0.00,0.50,0.28,0
0.00,0.25,0.33,0
0.00,0.20,0.20,0
0.00,0.20,0.00,0
0.00,0.14,0.20,0
0.00,0.16,0.07,0
0.00,0.16,0.11,0
0.00,0.25,0.20,0
0.00,0.20,0.36,0
0.00,0.20,0.18,0
0.00,0.40,0.60,0
0.00,0.16,0.10,0
0.00,0.75,0.33,0
0.00,0.20,0.40,0
0.00,0.50,0.20,0
0.00,0.28,0.31,0
0.00,0.33,0.37,0
0.00,0.20,0.26,0
0.00,0.25,0.25,0
0.00,0.16,0.25,0
0.00,0.25,0.30,0
0.00,0.20,0.20,0
0.00,0.40,0.26,0
0.00,0.40,0.35,0
0.00,0.20,0.17,0
0.00,0.50,0.09,0
0.00,0.25,0.25,0
0.00,0.50,0.28,0
0.00,0.25,0.25,0
0.00,0.40,0.32,0
0.00,0.40,0.20,0
0.00,0.20,0.19,0
0.00,0.16,0.54,0
0.00,0.40,0.14,0
0.00,0.50,0.28,0
0.00,0.20,0.16,0
0.00,0.20,0.25,0
0.00,0.20,0.19,0
0.00,0.20,0.16,0
0.00,0.50,0.20,0
0.00,0.20,0.31,0
0.00,0.50,0.35,0
0.00,0.16,0.30,0
0.00,0.33,0.23,0
0.00,0.16,0.16,0
0.00,0.40,0.11,0
0.00,0.25,0.36,0
0.00,0.16,0.09,0
0.00,0.16,0.33,0
0.00,0.33,0.33,0
0.00,0.20,0.25,0
0.00,0.20,0.33,0
0.00,0.33,0.16,0
0.00,0.25,0.16,0
0.00,0.40,0.42,0
0.00,0.20,0.00,0
0.00,0.50,0.31,0
0.00,0.40,0.33,0
0.00,0.20,0.28,0
0.00,0.50,0.25,0
0.00,0.25,0.50,0
0.00,0.50,0.45,0
0.00,0.66,0.33,0
0.00,0.20,0.03,0
0.00,0.25,0.21,0
0.00,0.20,0.36,0
0.00,0.40,0.46,0
0.00,0.20,0.08,0
0.00,0.20,0.20,0
0.00,0.20,0.15,0
0.00,0.25,0.25,0
0.00,0.40,0.03,0
0.00,0.50,0.35,0
0.00,0.20,0.33,0
0.00,0.50,0.16,0
0.00,0.25,0.41,0
0.00,0.20,0.09,0
0.00,0.40,0.38,0
0.00,0.20,0.21,0
0.00,0.20,0.14,0
0.00,0.16,0.05,0
0.00,0.16,0.24,0
0.00,0.50,0.40,0
0.00,0.20,0.33,0
0.00,0.20,0.37,0
0.00,0.20,0.66,0
0.00,0.20,0.23,0
0.00,0.14,0.05,0
0.00,0.50,0.04,0
0.00,0.20,0.20,0
0.00,0.50,0.21,0
0.00,0.25,0.20,0
0.00,0.16,0.07,0
0.00,0.20,0.33,0
0.00,0.25,0.31,0
0.00,0.16,0.30,0
0.00,0.25,0.29,0
0.00,0.20,0.28,0
0.00,0.20,0.15,0
0.00,0.40,0.22,0
0.00,0.40,0.18,0
0.00,0.20,0.22,0
0.00,0.16,0.29,0
0.00,0.50,0.20,0
0.00,0.20,0.25,0
0.00,0.50,0.41,0
0.00,0.20,0.32,0
0.00,0.20,0.25,0
0.00,0.20,0.07,0
0.00,0.16,0.13,0
0.00,0.25,0.16,0
0.00,0.16,0.50,0
0.00,0.20,0.25,0
0.00,0.20,0.30,0
0.00,0.16,0.15,0
0.00,0.20,0.25,0
0.00,0.20,0.53,0
0.00,0.20,0.37,0
0.00,0.25,0.16,0
0.00,0.16,0.23,0
0.00,0.50,0.06,0
0.00,0.20,0.11,0
0.00,0.20,0.20,0
0.00,0.25,0.11,0
0.00,0.50,0.13,0
0.00,0.25,0.55,0
0.00,0.16,0.23,0
0.00,0.16,0.13,0
0.00,0.20,0.42,0
0.00,0.20,0.07,0
0.00,0.16,0.21,0
0.00,0.25,0.33,0
0.00,0.20,0.50,0
0.00,0.40,0.22,0
0.00,0.20,0.12,0
0.00,0.16,0.00,0
0.00,0.50,0.35,0
0.00,0.25,0.12,0
0.00,0.40,0.40,0
0.00,0.20,0.22,0
0.00,0.25,0.33,0
0.00,0.20,0.13,0
0.00,0.20,0.33,0
0.00,0.16,0.12,0
0.00,0.16,0.40,0
0.00,0.20,0.37,0
0.00,0.16,0.15,0
0.00,0.20,0.30,0
0.00,0.20,0.18,0
0.00,0.20,0.00,0
0.00,0.40,0.33,0
0.00,0.40,0.15,0
0.00,0.16,0.18,0
0.00,0.50,0.42,0
0.00,0.20,0.50,0
0.00,0.33,0.15,0
0.00,0.25,0.20,0
0.00,0.20,0.27,0
0.00,0.16,0.07,0
0.00,0.14,0.26,0
0.00,0.20,0.41,0
0.00,0.20,0.10,0
0.00,0.20,0.22,0
0.00,0.20,0.27,0
0.00,0.16,0.28,0
0.00,0.20,0.10,0
0.00,0.40,0.42,0
0.00,0.20,0.12,0
0.00,0.16,0.10,0
0.00,0.50,0.14,0
0.00,0.60,0.30,0
0.00,0.40,0.46,0
0.00,0.20,0.22,0
0.00,0.20,0.33,0
0.00,0.25,0.36,0
0.00,0.16,0.36,0
0.00,0.20,0.09,0
0.00,0.20,0.33,0
0.00,0.16,0.18,0
0.00,0.40,0.33,0
0.00,0.40,0.30,0
0.00,0.25,0.26,0
0.00,0.20,0.22,0
0.00,0.16,0.22,0
0.00,0.50,0.50,0
0.00,0.20,0.11,0
0.00,0.33,0.12,0
0.00,0.33,0.23,0
0.00,0.20,0.28,0
0.00,0.40,0.16,0
0.00,0.16,0.25,0
0.00,0.20,0.23,0
0.00,0.16,0.05,0
0.00,0.20,0.62,0
0.00,0.20,0.17,0
0.00,0.20,0.28,0
0.00,0.40,0.14,0
0.00,0.20,0.33,0
0.00,0.20,0.16,0
0.00,0.50,0.62,0
0.00,0.20,0.00,0
0.00,0.16,0.50,0
0.00,0.20,0.12,0
0.00,0.50,0.37,0
0.00,0.40,0.25,0
0.00,0.16,0.00,0
0.00,0.20,0.33,0
0.00,0.40,0.28,0
0.00,0.40,0.22,0
0.00,0.28,0.20,0
0.00,0.20,0.75,0
